authoritativeCounty,authoritativeSubCounty,countyId,countyName,canonicalFound,canonicalCode,canonicalCountyCode,canonicalName,canonicalHeadquarters,selectedCandidateId,selectedCandidateName,resolutionStatus,resolutionReason,geoJsonWardCount,geoJsonGids,prismaCandidates
NYANDARUA,Olkalou Sub County,67,Nyandarua,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,453;454;455;456;457,374:Olkalou Sub County
NYERI,Mukurweini Sub County,69,Nyeri,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,487;488;489;490,376:Mukurweini Sub County
Siaya,Alego Usonga Sub County,83,Siaya,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,1860;1861;1886;1887;1888;1889,483:Alego Usonga Sub County
TAITA TAVETA,Wundanyi Sub County,59,Taita Taveta,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,116;117;118;119,303:Wundanyi Sub County
TANA RIVER,Bura Sub County,57,Tana River,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,96;97;98;99;100,299:Bura Sub County
TANA RIVER,Galole Sub County,57,Tana River,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,92;93;94;95,296:Galole Sub County
TANA RIVER,Garsen Sub County,57,Tana River,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,86;87;88;89;90;91,517:Garsen Sub County
THARAKA-NITHI,Chuka Sub County,66,Tharaka Nithi,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,3,302;303;304,548:Chuka Sub County
THARAKA-NITHI,Muthambi Sub County,66,Tharaka Nithi,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,2,296;297,340:Muthambi Sub County
THARAKA-NITHI,Mwimbi Sub County,66,Tharaka Nithi,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,3,298;299;300,341:Mwimbi Sub County
TRANS NZOIA,Cherangany Sub County,81,Trans Nzoia,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,7,694;695;696;697;698;699;700,441:Cherangany Sub County
TRANS NZOIA,Saboti  Sub County,81,Trans Nzoia,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,683;684;685;686;687,425:Saboti  Sub County
