gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubCountyId,databaseSubCountyName,countyExact,countyNormalized,subCountyExact,subCountyNormalized,classification,reason
2084,Nairobi,Starehe  Sub County,Landimawe Ward,2065,Landimawe Ward,79,Nairobi City,513,Starehe  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2085,Nairobi,Starehe  Sub County,Nairobi South Ward,2066,Nairobi South Ward,79,Nairobi City,513,Starehe  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2088,Nairobi,Mathare  Sub County,Huruma Ward,2067,Huruma Ward,79,Nairobi City,1579,Mathare,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2016,Nairobi,Dagoretti North Sub County,Kabiro Ward,2116,Kabiro Ward,79,Nairobi City,487,Dagoretti North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2017,Nairobi,Dagoretti South Sub County,Mutu-ini Ward,2117,Mutu-ini Ward,79,Nairobi City,524,Dagoretti South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2018,Nairobi,Dagoretti South Sub County,Ngando Ward,2118,Ngando Ward,79,Nairobi City,524,Dagoretti South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2019,Nairobi,Dagoretti South Sub County,Riruta Ward,2119,Riruta Ward,79,Nairobi City,524,Dagoretti South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2020,Nairobi,Dagoretti South Sub County,Uthiru/ruthimitu Ward,2120,Uthiru/ruthimitu Ward,79,Nairobi City,524,Dagoretti South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2021,Nairobi,Dagoretti South Sub County,Waithaka Ward,2121,Waithaka Ward,79,Nairobi City,524,Dagoretti South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2022,Nairobi,Langata  Sub County,Karen Ward,2122,Karen Ward,79,Nairobi City,1577,Lang'ata,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2009,Nairobi,Westlands  Sub County,Karura Ward,2184,Karura Ward,79,Nairobi City,486,Westlands  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2010,Nairobi,Westlands  Sub County,Kangemi Ward,2185,Kangemi Ward,79,Nairobi City,486,Westlands  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2011,Nairobi,Westlands  Sub County,Mountain View Ward,2186,Mountain View Ward,79,Nairobi City,486,Westlands  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2014,Nairobi,Dagoretti North Sub County,Gatina Ward,2188,Gatina Ward,79,Nairobi City,487,Dagoretti North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
786,BARINGO,Tiaty Sub County,Tangulbei/korossi Ward,2190,Tangulbei/korossi Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
2023,Nairobi,Langata  Sub County,Nairobi West Ward,2191,Nairobi West Ward,79,Nairobi City,1577,Lang'ata,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2024,Nairobi,Langata  Sub County,Mugumo-ini Ward,2192,Mugumo-ini Ward,79,Nairobi City,1577,Lang'ata,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
787,BARINGO,Tiaty Sub County,Churo/amaya Ward,2193,Churo/amaya Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
2025,Nairobi,Langata  Sub County,South C Ward,2200,South C Ward,79,Nairobi City,1577,Lang'ata,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2026,Nairobi,Langata  Sub County,Nyayo Highrise Ward,2207,Nyayo Highrise Ward,79,Nairobi City,1577,Lang'ata,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2027,Nairobi,Kibra  Sub County,Laini Saba Ward,2208,Laini Saba Ward,79,Nairobi City,1576,Kibra,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2028,Nairobi,Kibra  Sub County,Lindi Ward,2214,Lindi Ward,79,Nairobi City,1576,Kibra,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2029,Nairobi,Kibra  Sub County,Makina Ward,2216,Makina Ward,79,Nairobi City,1576,Kibra,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2031,Nairobi,Kibra  Sub County,Sarang'ombe Ward,2217,Sarang'ombe Ward,79,Nairobi City,1576,Kibra,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2032,Nairobi,Roysambu  Sub County,Githurai Ward,2218,Githurai Ward,79,Nairobi City,492,Roysambu  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2033,Nairobi,Roysambu  Sub County,Kahawa West,2219,Kahawa West,79,Nairobi City,492,Roysambu  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2036,Nairobi,Roysambu  Sub County,Kahawa,2220,Kahawa,79,Nairobi City,492,Roysambu  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2037,Nairobi,Kasarani  Sub County,Clay City,2221,Clay City,79,Nairobi City,1575,Kasarani,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2040,Nairobi,Kasarani  Sub County,Njiru Ward,2222,Njiru Ward,79,Nairobi City,1575,Kasarani,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2041,Nairobi,Kasarani  Sub County,Ruai Ward,2223,Ruai Ward,79,Nairobi City,1575,Kasarani,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2042,Nairobi,Ruaraka  Sub County,Babandogo,2224,Babandogo,79,Nairobi City,405,Ruaraka  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2043,Nairobi,Ruaraka  Sub County,Utalii Ward,2225,Utalii Ward,79,Nairobi City,405,Ruaraka  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2048,Nairobi,Embakasi South Sub County,Kwa Njenga Ward,2226,Kwa Njenga Ward,79,Nairobi City,407,Embakasi South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2056,Nairobi,Embakasi North Sub County,Dandora Area Iv Ward,2227,Dandora Area Iv Ward,79,Nairobi City,533,Embakasi North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2049,Nairobi,Embakasi South Sub County,Kwa Reuben Ward,2228,Kwa Reuben Ward,79,Nairobi City,407,Embakasi South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2067,Nairobi,Embakasi West Sub County,Umoja I Ward,2229,Umoja I Ward,79,Nairobi City,534,Embakasi West Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2051,Nairobi,Embakasi South Sub County,Kware Ward,2230,Kware Ward,79,Nairobi City,407,Embakasi South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2052,Nairobi,Embakasi North Sub County,Kariobangi North Ward,2231,Kariobangi North Ward,79,Nairobi City,533,Embakasi North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2053,Nairobi,Embakasi North Sub County,Dandora Area I Ward,2232,Dandora Area I Ward,79,Nairobi City,533,Embakasi North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
