gid,wardId,wardName,countyName,authoritativeSubcountyName,authoritativeScuid,databaseSubCountyId,databaseSubCountyName,databaseCountyId,databaseCountyName,status,detail
1637,1117,Maeni Ward,Bungoma,Kimilili Sub County,,1517,Kimilili,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1638,1118,Kamukuywa Ward,Bungoma,Kimilili Sub County,,1517,Kimilili,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1639,1119,Mbakalo Ward,Bungoma,Tongaren Sub County,,1519,Tongaren,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1640,1120,Naitiri/kabuyefwe Ward,Bungoma,Tongaren Sub County,,1519,Tongaren,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1641,1121,Milima Ward,Bungoma,Tongaren Sub County,,1519,Tongaren,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1642,1122,Ndalu/ Tabani Ward,Bungoma,Tongaren Sub County,,1519,Tongaren,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1643,1123,Tongaren Ward,Bungoma,Tongaren Sub County,,1519,Tongaren,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1644,1124,Soysambu/ Mitua Ward,Bungoma,Tongaren Sub County,,1519,Tongaren,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1645,1125,Mautuma Ward,Kakamega,Lugari Sub County,,1500,Lugari,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1646,1126,Lugari Ward,Kakamega,Lugari Sub County,,1500,Lugari,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1647,1127,Lumakanda Ward,Kakamega,Lugari Sub County,,1500,Lugari,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1648,1128,Chekalini Ward,Kakamega,Lugari Sub County,,1500,Lugari,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1649,1129,Chevaywa Ward,Kakamega,Lugari Sub County,,1500,Lugari,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1650,1130,Lwandeti Ward,Kakamega,Lugari Sub County,,1500,Lugari,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1651,1131,Likuyani Ward,Kakamega,Likuyani Sub County,,1499,Likuyani,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1652,1132,Sango Ward,Kakamega,Likuyani Sub County,,1499,Likuyani,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
