countyId,countyName,currentSubCountyId,currentSubCountyName,wards,authoritativeSubCountyNames,authoritativeWardCount,canonicalTargetId,canonicalTargetName,classification,reason,farmers,farms,businessPartners,destinationTransactions,sourceTransactions
85,Elgeyo Marakwet,446,Marakwet East sub-county,4,Marakwet East sub-county,4,446,Marakwet East sub-county,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
85,Elgeyo Marakwet,460,Keiyo South Sub County,6,Keiyo South Sub County,6,460,Keiyo South Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
85,Elgeyo Marakwet,523,Marakwet West Sub County,6,Marakwet West Sub County,6,523,Marakwet West Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
85,Elgeyo Marakwet,554,Keiyo North Sub County,4,Keiyo North Sub County,4,554,Keiyo North Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
89,Embu,455,Mbeere North  Sub County,3,Mbeere North  Sub County,3,455,Mbeere North  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
89,Embu,542,Manyatta  Sub County,7,Manyatta  Sub County,7,542,Manyatta  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
89,Embu,543,Runyenjes  Sub County,5,Runyenjes  Sub County,5,543,Runyenjes  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
89,Embu,549,Mbeere South  Sub County,5,Mbeere South  Sub County,5,549,Mbeere South  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,309,Garissa Sub County,5,Garissa Sub County,5,309,Garissa Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,311,Balambala Sub County,4,Balambala Sub County,4,311,Balambala Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,312,Lagdera Sub County,6,Lagdera Sub County,6,312,Lagdera Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,313,Fafi Sub County,5,Fafi Sub County,5,313,Fafi Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,314,Hulugho Sub County,2,Hulugho Sub County,2,314,Hulugho Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,397,Ijara Sub County,2,Ijara Sub County,2,397,Ijara Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
60,Garissa,536,Dadaab Sub County,6,Dadaab Sub County,6,536,Dadaab Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
