gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,normalizedCounty,normalizedSubCounty,actualWardId,actualCountyId,actualCountyName,actualSubCountyId,actualSubCountyName,candidateCountyIds,candidateSubCountyIds,candidateSubCountyNames,status,reason
1525,Machakos,Machakos Sub County,Township Ward,machakos,machakos,1053,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1526,Machakos,Machakos Sub County,Mumbuni North Ward,machakos,machakos,1054,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1527,Machakos,Machakos Sub County,Muvuti-kiima-kimwe Ward,machakos,machakos,1055,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1528,Machakos,Machakos Sub County,Kola Ward,machakos,machakos,1056,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1529,Machakos,Mwala Sub County,Mbiuni Ward,machakos,mwala,1057,50,Machakos,1358,Mwala,50,1358,Mwala,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1530,Machakos,Mwala Sub County,Makutano-mwala Ward,machakos,mwala,1058,50,Machakos,1358,Mwala,50,1358,Mwala,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1531,Machakos,Mwala Sub County,Masii Ward,machakos,mwala,1059,50,Machakos,1358,Mwala,50,1358,Mwala,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1532,Machakos,Mwala Sub County,Muthetheni Ward,machakos,mwala,1060,50,Machakos,1358,Mwala,50,1358,Mwala,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1533,Machakos,Mwala Sub County,Wamunyu Ward,machakos,mwala,1061,50,Machakos,1358,Mwala,50,1358,Mwala,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1534,Machakos,Mwala Sub County,Kibauni Ward,machakos,mwala,1062,50,Machakos,1358,Mwala,50,1358,Mwala,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1535,Homa Bay,Kasipul Sub County,West Kasipul Ward,homabay,kasipul,1063,51,Homa Bay,267,Kasipul Sub County,51,267,Kasipul Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1536,Homa Bay,Kasipul Sub County,South Kasipul Ward,homabay,kasipul,1064,51,Homa Bay,267,Kasipul Sub County,51,267,Kasipul Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1537,Homa Bay,Kasipul Sub County,Central Kasipul Ward,homabay,kasipul,1065,51,Homa Bay,267,Kasipul Sub County,51,267,Kasipul Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1538,Homa Bay,Kasipul Sub County,East Kamagak Ward,homabay,kasipul,1066,51,Homa Bay,267,Kasipul Sub County,51,267,Kasipul Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1539,Homa Bay,Kasipul Sub County,West Kamagak Ward,homabay,kasipul,1067,51,Homa Bay,267,Kasipul Sub County,51,267,Kasipul Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1540,Homa Bay,Kabondo Kasipul Sub County,Kabondo East Ward,homabay,kabondokasipul,1068,51,Homa Bay,268,Kabondo Kasipul Sub County,51,268,Kabondo Kasipul Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
