sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
1468,Ragana-oruba Ward,Migori,Suna West Sub County,VtuwXD7O1O9,49,1554,1038,Ragana-oruba Ward,49,Migori,1554,Suna West,CORRECT,NORMALIZED,
1469,Wasimbete Ward,Migori,Suna West Sub County,VtuwXD7O1O9,49,1554,1039,Wasimbete Ward,49,Migori,1554,Suna West,CORRECT,NORMALIZED,
1470,West Kanyamkago Ward,Migori,Uriri Sub County,fCInDXluNhx,49,1555,1040,West Kanyamkago Ward,49,Migori,1555,Uriri,CORRECT,NORMALIZED,
1471,North  Kanyamkago Ward,Migori,Uriri Sub County,fCInDXluNhx,49,1555,1041,North  Kanyamkago Ward,49,Migori,1555,Uriri,CORRECT,NORMALIZED,
1472,Central Kanyamkago Ward,Migori,Uriri Sub County,fCInDXluNhx,49,1555,1042,Central Kanyamkago Ward,49,Migori,1555,Uriri,CORRECT,NORMALIZED,
1473,South Kanyamkago Ward,Migori,Uriri Sub County,fCInDXluNhx,49,1555,1043,South Kanyamkago Ward,49,Migori,1555,Uriri,CORRECT,NORMALIZED,
1474,East Kanyamkago Ward,Migori,Uriri Sub County,fCInDXluNhx,49,1555,1044,East Kanyamkago Ward,49,Migori,1555,Uriri,CORRECT,NORMALIZED,
1475,Kachieng' Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1045,Kachieng' Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1486,Masaba Ward,Migori,Kuria West Sub County,jtBjNpL9FXS,49,1550,1046,Masaba Ward,49,Migori,1550,Kuria West,CORRECT,NORMALIZED,
1490,Ntimaru West Ward,Migori,Kuria East Sub County,THm2tCJa2ZQ,49,1549,1047,Ntimaru West Ward,49,Migori,1549,Kuria East,CORRECT,NORMALIZED,
1520,Mathatani Ward,Machakos,Athi River Sub County,BxfsSc6Svrc,50,1351,1048,Mathatani Ward,50,Machakos,1351,Athi River,CORRECT,NORMALIZED,
1521,Syokimau-mulolongo Ward,Machakos,Athi River Sub County,BxfsSc6Svrc,50,1351,1049,Syokimau-mulolongo Ward,50,Machakos,1351,Athi River,CORRECT,NORMALIZED,
1522,Kalama Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1050,Kalama Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1523,Mua Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1051,Mua Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1524,Mutituni Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1052,Mutituni Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1525,Township Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1053,Township Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1526,Mumbuni North Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1054,Mumbuni North Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1527,Muvuti-kiima-kimwe Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1055,Muvuti-kiima-kimwe Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1528,Kola Ward,Machakos,Machakos Sub County,KXc4ez8OAFz,50,1355,1056,Kola Ward,50,Machakos,1355,Machakos,CORRECT,NORMALIZED,
1529,Mbiuni Ward,Machakos,Mwala Sub County,fYYivceocJ2,50,1358,1057,Mbiuni Ward,50,Machakos,1358,Mwala,CORRECT,NORMALIZED,
1530,Makutano-mwala Ward,Machakos,Mwala Sub County,fYYivceocJ2,50,1358,1058,Makutano-mwala Ward,50,Machakos,1358,Mwala,CORRECT,NORMALIZED,
1531,Masii Ward,Machakos,Mwala Sub County,fYYivceocJ2,50,1358,1059,Masii Ward,50,Machakos,1358,Mwala,CORRECT,NORMALIZED,
1532,Muthetheni Ward,Machakos,Mwala Sub County,fYYivceocJ2,50,1358,1060,Muthetheni Ward,50,Machakos,1358,Mwala,CORRECT,NORMALIZED,
1533,Wamunyu Ward,Machakos,Mwala Sub County,fYYivceocJ2,50,1358,1061,Wamunyu Ward,50,Machakos,1358,Mwala,CORRECT,NORMALIZED,
1534,Kibauni Ward,Machakos,Mwala Sub County,fYYivceocJ2,50,1358,1062,Kibauni Ward,50,Machakos,1358,Mwala,CORRECT,NORMALIZED,
1535,West Kasipul Ward,Homa Bay,Kasipul Sub County,NhsAMiaS0TD,51,267,1063,West Kasipul Ward,51,Homa Bay,267,Kasipul Sub County,CORRECT,EXACT,
1536,South Kasipul Ward,Homa Bay,Kasipul Sub County,NhsAMiaS0TD,51,267,1064,South Kasipul Ward,51,Homa Bay,267,Kasipul Sub County,CORRECT,EXACT,
1537,Central Kasipul Ward,Homa Bay,Kasipul Sub County,NhsAMiaS0TD,51,267,1065,Central Kasipul Ward,51,Homa Bay,267,Kasipul Sub County,CORRECT,EXACT,
