gid,wardId,wardName,authoritativeCounty,authoritativeSubCounty,databaseCounty,databaseCountyId,databaseSubCounty,databaseSubCountyId,countyIdentityMatch,subCountyIdentityMatch,status,countyNormalizedAuthoritative,countyNormalizedDatabase,subCountyNormalizedAuthoritative,subCountyNormalizedDatabase,wardUid,wardScuid,wardCuid,population2009
2017,2117,Mutu-ini Ward,Nairobi,Dagoretti South Sub County,Nairobi City,79,Dagoretti South Sub County,524,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettisouth,dagorettisouth,,,,17973
2018,2118,Ngando Ward,Nairobi,Dagoretti South Sub County,Nairobi City,79,Dagoretti South Sub County,524,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettisouth,dagorettisouth,,,,34014
2019,2119,Riruta Ward,Nairobi,Dagoretti South Sub County,Nairobi City,79,Dagoretti South Sub County,524,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettisouth,dagorettisouth,,,,65320
2020,2120,Uthiru/ruthimitu Ward,Nairobi,Dagoretti South Sub County,Nairobi City,79,Dagoretti South Sub County,524,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettisouth,dagorettisouth,,,,32575
2021,2121,Waithaka Ward,Nairobi,Dagoretti South Sub County,Nairobi City,79,Dagoretti South Sub County,524,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettisouth,dagorettisouth,,,,31054
2022,2122,Karen Ward,Nairobi,Langata  Sub County,Nairobi City,79,Lang'ata,1577,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,langata,langata,,,,33303
2009,2184,Karura Ward,Nairobi,Westlands  Sub County,Nairobi City,79,Westlands  Sub County,486,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,westlands,westlands,,,,26453
2010,2185,Kangemi Ward,Nairobi,Westlands  Sub County,Nairobi City,79,Westlands  Sub County,486,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,westlands,westlands,,,,44564
2011,2186,Mountain View Ward,Nairobi,Westlands  Sub County,Nairobi City,79,Westlands  Sub County,486,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,westlands,westlands,,,,36135
2014,2188,Gatina Ward,Nairobi,Dagoretti North Sub County,Nairobi City,79,Dagoretti North Sub County,487,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettinorth,dagorettinorth,,,,45872
786,2190,Tangulbei/korossi Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,18390
2023,2191,Nairobi West Ward,Nairobi,Langata  Sub County,Nairobi City,79,Lang'ata,1577,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,langata,langata,,,,33377
2024,2192,Mugumo-ini Ward,Nairobi,Langata  Sub County,Nairobi City,79,Lang'ata,1577,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,langata,langata,,,,47037
787,2193,Churo/amaya Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,21227
2025,2200,South C Ward,Nairobi,Langata  Sub County,Nairobi City,79,Lang'ata,1577,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,langata,langata,,,,47202
2026,2207,Nyayo Highrise Ward,Nairobi,Langata  Sub County,Nairobi City,79,Lang'ata,1577,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,langata,langata,,,,24191
2027,2208,Laini Saba Ward,Nairobi,Kibra  Sub County,Nairobi City,79,Kibra,1576,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kibra,kibra,,,,28182
2028,2214,Lindi Ward,Nairobi,Kibra  Sub County,Nairobi City,79,Kibra,1576,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kibra,kibra,,,,52521
2029,2216,Makina Ward,Nairobi,Kibra  Sub County,Nairobi City,79,Kibra,1576,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kibra,kibra,,,,35028
2031,2217,Sarang'ombe Ward,Nairobi,Kibra  Sub County,Nairobi City,79,Kibra,1576,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kibra,kibra,,,,54347
2032,2218,Githurai Ward,Nairobi,Roysambu  Sub County,Nairobi City,79,Roysambu  Sub County,492,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,roysambu,roysambu,,,,47188
2033,2219,Kahawa West,Nairobi,Roysambu  Sub County,Nairobi City,79,Roysambu  Sub County,492,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,roysambu,roysambu,,,,39994
2036,2220,Kahawa,Nairobi,Roysambu  Sub County,Nairobi City,79,Roysambu  Sub County,492,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,roysambu,roysambu,,,,25265
2037,2221,Clay City,Nairobi,Kasarani  Sub County,Nairobi City,79,Kasarani,1575,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kasarani,kasarani,,,,39963
2040,2222,Njiru Ward,Nairobi,Kasarani  Sub County,Nairobi City,79,Kasarani,1575,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kasarani,kasarani,,,,34523
2041,2223,Ruai Ward,Nairobi,Kasarani  Sub County,Nairobi City,79,Kasarani,1575,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,kasarani,kasarani,,,,35961
